source,stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
vins,1776726673,49458078,9.20145e-05,0.000192544,-0.000394525,0.00089711,0.00130177,-0.000106931,0.999999
vins,1776726673,99359078,4.73081e-05,0.000276311,-0.000336938,0.000947865,0.00127918,-6.7759e-05,0.999999
vins,1776726673,115971078,-9.77996e-05,0.000389786,-0.000210417,0.000973565,0.00130447,-7.14102e-05,0.999999
vins,1776726673,132770078,-0.000280825,0.000505752,-0.000137802,0.00098172,0.00127717,-8.04542e-05,0.999999
vins,1776726673,149455078,-0.000223671,0.000428042,-0.000172874,0.000976631,0.00129625,-9.0511e-05,0.999999
vins,1776726673,186699078,-0.000108297,0.000255434,-0.00023902,0.000962294,0.00127341,-0.000125357,0.999999
vins,1776726673,220310078,-0.000163095,0.000271776,-0.000205992,0.000939671,0.00126333,-0.000150538,0.999999
vins,1776726673,232926078,-0.000155905,0.000312318,-0.00025357,0.000924265,0.00130323,-0.000162585,0.999999
vins,1776726673,249497078,-0.000107144,0.000301009,-0.000204678,0.000914223,0.00131937,-0.000158129,0.999999
vins,1776726673,266098078,-9.92459e-05,0.000308289,-0.000231708,0.000924763,0.00130623,-0.000143176,0.999999
vins,1776726673,282900078,-8.91647e-05,0.000322167,-0.000209042,0.000921229,0.00133291,-0.000119834,0.999999
vins,1776726673,299293078,-9.01378e-05,0.000340679,-0.0002046,0.000932233,0.00130714,-0.000100952,0.999999
vins,1776726673,316107078,-8.56016e-05,0.000389448,-0.000238888,0.000952894,0.00129895,-7.95064e-05,0.999999
vins,1776726673,332735078,7.76717e-05,0.000357864,-0.000255919,0.000960559,0.00130931,-5.74581e-05,0.999999
vins,1776726673,349546078,0.000136409,0.00030561,-0.000287648,0.000972776,0.00127001,-4.237e-05,0.999999
vins,1776726673,366234078,1.73724e-05,0.0003055,-0.000274891,0.000995697,0.00126874,-3.07234e-05,0.999999
vins,1776726673,382783078,-0.000151689,0.000341243,-0.000261747,0.000979092,0.00127813,-4.51681e-05,0.999999
vins,1776726673,416091078,8.62141e-05,0.000161961,-0.00028238,0.000936178,0.00128916,-6.63529e-05,0.999999
vins,1776726673,432922078,6.65347e-05,0.000144953,-0.000323367,0.000893999,0.0013146,-0.000118184,0.999999
vins,1776726673,449517078,1.11498e-05,0.000143856,-0.000309928,0.00088621,0.00130577,-0.000141814,0.999999
